X,Y,Z,SAMPLE_1,
630717.185235074,4212620.7788156,0,449.587097167969
631006.897087587,4212889.05224982,0,445.018646240234
631370.386430769,4213135.42460515,0,458.589324951172
631549.82989585,4213258.50402086,0,445.935546875
631620.898011884,4213384.62514306,0,432.221130371094
631727.752714572,4213452.84873557,0,429.526336669922
631847.801064347,4213525.61820056,0,426.227233886719
631960.463557569,4213583.56424308,0,421.351837158203
632023.49409035,4213648.55643782,0,401.688385009766
632132.834924115,4213727.61620229,0,369.455688476562
632179.583317312,4213770.64302329,0,353.97900390625
632278.686153703,4213829.03213553,0,346.326385498047
632423.43737101,4213925.5333487,0,346.326385498047
