X,Y,SAMPLE_1
632216.633824742,4214236.31230876,346.326385498047
632117.891450697,4214158.66350209,365.862060546875
632058.111060356,4214122.7478765,369.762115478516
631951.208465511,4214042.02595317,373.273651123047
631795.972938365,4213953.15786639,375.182830810547
631600.99903645,4213833.71590329,398.046569824219
631500.457363906,4213758.16218668,406.615783691406
631500.296923342,4213756.07518103,409.931610107422
631428.405605449,4213698.13718308,416.013916015625
631422.448761043,4213668.27383189,411.524017333984
631478.470495177,4213683.08503767,409.845275878906
631565.853455977,4213713.53644759,392.222106933594
631622.515851043,4213728.36089555,381.455200195312
631682.068812645,4213772.00308939,379.929290771484
631724.153500237,4213833.12860999,383.553009033203
631725.799892209,4213834.40076389,383.553009033203
631805.143173147,4213899.58747445,376.954437255859
631892.940537297,4213972.99755842,371.123199462891
631895.989335338,4213974.0571416,371.452789306641
631971.753821106,4214011.67096948,375.562744140625
631974.671800661,4214012.65754126,375.562744140625
632050.154188251,4214059.7489176,377.795440673828
632079.560543484,4214092.24764094,374.622131347656
632112.360176169,4214124.71080662,369.632141113281
632145.573604595,4214129.63510965,368.799072265625
632182.997828644,4214118.64890938,359.076385498047
632215.74299085,4214121.65495806,346.326385498047
632250.330300436,4214131.37007627,346.326385498047
632286.194004451,4214143.12500445,346.326385498047
