X,Y,Z,SAMPLE_1,
631978.138001055,4213354.01650903,0,417.991516113281
631940.813960048,4213319.25535883,0,417.674835205078
631916.620680062,4213267.25378484,0,421.345428466797
631919.110903282,4213213.54823207,0,419.448974609375
631943.692819797,4213196.02691428,0,412.720581054688
631950.210023478,4213195.88122161,0,412.720581054688
631997.809419097,4213201.47036263,0,408.847503662109
632040.478364827,4213223.17758881,0,409.701171875
632062.48128105,4213267.01404947,0,411.240142822266
632059.895979511,4213270.92591078,0,412.905548095703
632034.757055996,4213317.23750617,0,417.859222412109
631978.138001055,4213354.01650903,0,417.991516113281
