id,SAMPLE_1,X,Y
,381.578247070312,"633017","4212431"
,386.991973876953,"633056","4212517"
,378.053802490234,"633075","4212450"
,386.991973876953,"633059","4212515"
,378.850860595703,"633131","4212571"
,380.136169433594,"633126","4212464"
,376.706909179688,"633161","4212480"
,367.146545410156,"633192","4212613"
,371.238586425781,"633276","4212566"
,348.533386230469,"633266","4212662"
,367.549865722656,"633308","4212592"
,367.146545410156,"633192","4212611"
,385.908050537109,"632935","4212389"
,382.765014648438,"632926","4212450"
,381.578247070312,"633014","4212433"
,392.309539794922,"632861","4212345"
,374.034210205078,"632840","4212424"
,395.5849609375,"632798","4212312"
,375.607086181641,"632739","4212387"
,374.034210205078,"632844","4212426"
,392.309539794922,"632861","4212347"
