,UTM_X,UTM_Y,elevation,t,tt
0,630927.9809448561,4212265.248865647,323.47429888000005,4259254.470437324,798.0440551713109
1,630937.2191796877,4212251.758723571,326.2543722416755,4259242.497606355,810.0168861402199
2,630946.2746691204,4212238.535435655,328.4921762652357,4259230.761643228,821.7528492668644
3,630955.1495097189,4212225.575940388,330.21671441825504,4259219.259829102,833.2546633929014
4,630963.8458181329,4212212.87714693,331.4563814021398,4259207.989419163,844.5250733317807
5,630972.3657311003,4212200.435935107,332.2389631521279,4259196.94764262,855.5668498752639
6,630980.7114054437,4212188.249155418,332.5916368372892,4259186.131702711,866.3827897841111
7,630988.8850180737,4212176.313629025,332.5409708605248,4259175.538776695,876.9757158001885
8,630996.8887659878,4212164.626147761,332.11292485856796,4259165.166015855,887.3484766399488
9,631004.7248662686,4212153.183474129,331.3328497019835,4259155.010545495,897.5039470000193
10,631012.3955560863,4212141.982341299,330.225487495168,4259145.069464941,907.4450275544077
11,631019.9030926975,4212131.019453109,328.81497157635,4259135.339847539,917.1746449563652
12,631027.249753445,4212120.291484068,327.1248265175892,4259125.818740652,926.6957518430427
13,631034.4378357589,4212109.7950793505,325.17796812477775,4259116.503165662,936.0113268326968
14,631041.4696571555,4212099.5268548,322.99670343763887,4259107.390117968,945.1243745265529
15,631048.3475552375,4212089.483396932,320.602730729728,4259098.476566987,954.0379255078733
16,631055.0738876946,4212079.661262926,318.0171395084321,4259089.759456146,962.7550363494083
17,631061.6510323028,4212070.056980632,315.26041051496975,4259081.235702889,971.2787896059453
18,631068.0813869248,4212060.667048568,312.3524157243918,4259072.9021986695,979.6122938254848
19,631074.3673695099,4212051.487935923,309.31241834557983,4259064.755808962,987.7586835334077
20,631080.5114180933,4212042.516082552,306.15907282124806,4259056.793373242,995.7211192529649
21,631086.5159907981,4212033.747898979,302.91042482794217,4259049.011704998,1003.5027874968946
22,631092.3835658331,4212025.179766397,299.58391127603943,4259041.407591731,1011.1069007636979
23,631098.1166414939,4212016.808036666,296.1963603097489,4259033.977794944,1018.5366975506768
24,631103.7177361624,4212008.629032318,292.7639913071116,4259026.719050153,1025.7954423418269
25,631109.1893883075,4212000.63904655,289.30241488,4259019.628066876,1032.8864256190136
26,631114.534156485,4211992.834343227,285.82663287411833,4259012.701528636,1039.8129638591781
27,631119.754619336,4211985.211156889,282.35103836900265,4259005.936092964,1046.578399530612
28,631124.8533755895,4211977.765692735,278.8894156780208,4258999.328391392,1053.1861011032015
29,631129.8330440603,4211970.494126642,275.4549403483722,4258992.875029454,1059.6394630409777
30,631134.6962636504,4211963.392605149,272.06017916108794,4258986.572586686,1065.941905808635
31,631139.4456933481,4211956.457245464,268.71709013103117,4258980.417616623,1072.0968758715317
32,631144.0840122276,4211949.684135469,265.4370225068966,4258974.406646806,1078.10784568917
33,631148.6139194511,4211943.069333708,262.2307167712104,4258968.536178766,1083.978313729167
34,631153.0381342662,4211936.608869396,259.10830464033086,4258962.802688038,1089.7118044570088
35,631157.3593960074,4211930.298742418,256.0793090644479,4258957.2026241515,1095.3118683435023
36,631161.5804640963,4211924.134923326,253.1526442275832,4258951.732410634,1100.782081861049
37,631165.7041180402,4211918.113353341,250.33661554758982,4258946.388445009,1106.1260474864393
38,631169.7331574337,4211912.229944352,247.63891967615302,4258941.167098793,1111.3473937017843
39,631173.6704019577,4211906.480578918,245.06664449878957,4258936.064717498,1116.4497749973089
40,631177.5186913796,4211900.861110264,242.62626913484797,4258931.077620626,1121.4368718685582
41,631181.2808855535,4211895.367362287,240.32366393750857,4258926.202101678,1126.3123908173293
42,631184.9598644204,4211889.995129548,238.1640904937833,4258921.434428139,1131.080064356327
43,631188.5585280072,4211884.740177281,236.15220162451584,4258916.7708414905,1135.7436510045081
44,631192.0797964279,4211879.598241386,234.29204138438172,4258912.207557201,1140.3069352936
45,631195.526609883,4211874.565028433,232.58704506188803,4258907.740764734,1144.7737277606502
46,631198.9019286593,4211869.63621566,231.04003917937382,4258903.366627539,1149.1478649564087
47,631202.2087331306,4211864.807450971,229.6532414930097,4258899.081283047,1153.4332094481215
48,631205.4500237571,4211860.074352942,228.4282609927979,4258894.88084269,1157.6336498046294
49,631208.6288210857,4211855.432510818,227.3660979025728,4258890.761391878,1161.7531006168574
50,631211.7481657492,4211850.877484511,226.46714368,4258886.718990011,1165.7955024838448
51,631214.8111184684,4211846.404804599,225.73118101657724,4258882.749670475,1169.7648220201954
52,631217.8207600492,4211842.009972333,225.15738383763374,4258878.849440642,1173.6650518532842
53,631220.780191385,4211837.688459629,224.7443173023306,4258875.014281867,1177.5002106279135
54,631223.6925334553,4211833.435709074,224.4899378036605,4258871.240149492,1181.2743430025876
55,631226.5609273264,4211829.247133923,224.39159296844798,4258867.522972844,1184.9915196513757
56,631229.3885341515,4211825.118118099,224.44602165734932,4258863.858655233,1188.6558372620493
57,631232.1785351698,4211821.044016194,224.64935396485245,4258860.243073951,1192.2714185435325
58,631234.9341317073,4211817.020153468,224.99711121927703,4258856.672080277,1195.8424122175202
59,631237.6585451767,4211813.041825849,225.48420598277445,4258853.14149947,1199.3729930249974
60,631240.3550170772,4211809.104299936,226.104942051328,4258849.647130774,1202.8673617206514
61,631243.0268089947,4211805.202812994,226.8530144547525,4258846.184747412,1206.329745083116
62,631245.6772026015,4211801.3325729575,227.7215094566945,4258842.750096593,1209.7643959019333
63,631248.3094996563,4211797.488758429,228.70290455463243,4258839.338899506,1213.1755929887295
64,631250.9270220052,4211793.666518681,229.7890684798763,4258835.946851323,1216.5676411716267
65,631253.53311158,4211789.860973653,230.97126119756803,4258832.569621201,1219.9448712943122
66,631256.1311303994,4211786.067213955,232.24013390668108,4258829.2028522715,1223.3116402234882
67,631258.7244605687,4211782.280300862,233.58572904002068,4258825.842161654,1226.672330841422
68,631261.31650428,4211778.495266321,234.99748026422395,4258822.483140445,1230.031352049671
69,631263.9106838115,4211774.7071129475,236.46421247975957,4258819.121353732,1233.3931387625635
70,631266.5104415285,4211770.910814022,237.97414182092803,4258815.752340573,1236.7621519220993
71,631269.1192398824,4211767.101313497,239.51487565586143,4258812.371614016,1240.1428784793243
72,631271.7405614117,4211763.2735259915,241.07341258652383,4258808.974661086,1243.5398314092308
73,631274.3779087411,4211759.422336794,242.6361424487108,4258805.556942795,1246.9575496995822
74,631277.034804582,4211755.542601864,244.18884631204986,4258802.1138941385,1250.4005983565003
75,631279.7147917321,4211751.629147825,245.71669648,4258798.640924091,1253.8735684035346
76,631282.4214330765,4211747.6767719705,247.20425648985213,4258795.133415612,1257.3810768825933
77,631285.1583115861,4211743.680242264,248.63548111272883,4258791.586725645,1260.9277668502182
78,631287.9290303185,4211739.634297336,249.99371635358435,4258787.996185117,1264.5183073775843
79,631290.7372124183,4211735.533646488,251.26169945120483,4258784.357098944,1268.1573935514316
80,631293.586501116,4211731.372969686,252.421558878208,4258780.664746021,1271.849746474065
81,631296.4805597295,4211727.146917569,253.45481434104346,4258776.914379234,1275.6001132605597
82,631299.4230716629,4211722.85011144,254.3423767799923,4258773.101225451,1279.4132670443505
83,631302.4177404064,4211718.477143276,255.06454836916754,4258769.220485533,1283.2940069623291
84,631305.4682895377,4211714.022575715,255.601022516514,4258765.267334322,1287.2471581725404
85,631308.5784627204,4211709.480942071,255.93088386380802,4258761.236920656,1291.2775718392804
86,631311.7520237049,4211704.846746325,256.0326082866577,4258757.124367357,1295.3901251377538
87,631314.9927563284,4211700.114463122,255.88406289450313,4258752.92477124,1299.5897212550044
88,631318.3044645145,4211695.278537778,255.46250603061577,4258748.633203111,1303.8812893843278
89,631321.6909722731,4211690.3333862815,254.74458727209904,4258744.244707768,1308.2697847271338
90,631325.156123701,4211685.273395284,253.706347429888,4258739.754304004,1312.7601884910837
91,631328.7037829817,4211680.092922109,252.3232185487495,4258735.156984605,1317.3575078900903
92,631332.3378343851,4211674.786294745,250.57002390728212,4258730.447716352,1322.066776143387
93,631336.0621822677,4211669.347811854,248.42097801791613,4258725.621440027,1326.8930524680763
94,631339.8807510725,4211663.771742763,245.84968662691347,4258720.673070407,1331.8414220884442
95,631343.7974853293,4211658.052327467,242.82914671436802,4258715.597496267,1336.9169962275773
96,631347.8163496543,4211652.183776633,239.33174649420516,4258710.38958039,1342.1249121045694
97,631351.9413287503,4211646.160271593,235.32926541418212,4258705.044159555,1347.470332940109
98,631356.1764274071,4211639.97596435,230.79287415588783,4258699.556044547,1352.9584479480982
99,631360.5256705002,4211633.624977573,225.69313463474305,4258693.920020158,1358.5944723365828
