,UTM_X,UTM_Y,elevation,t,tt
0,630312.260878774,4213164.354736203,280.0,4260052.514492497,-1.862645149230957e-09
1,630316.0869378255,4213158.76772947,279.012,4260047.555080614,4.959411880932748
2,630319.8677180716,4213153.2468411615,278.048,4260042.654364901,9.860127594321966
3,630323.6032195123,4213147.7920712745,277.10799999999995,4260037.812345177,14.702147318050265
4,630327.2934421477,4213142.403419811,276.192,4260033.029021273,19.485471221618354
5,630330.9383859778,4213137.080886771,275.3,4260028.304393018,24.21009947732091
6,630334.5380510024,4213131.824472154,274.432,4260023.63846024,28.87603225465864
7,630338.0924372219,4213126.634175958,273.58799999999997,4260019.031222775,33.483269720338285
8,630341.6015446361,4213121.5099981865,272.76800000000003,4260014.482680459,38.031812036409974
9,630345.0653732448,4213116.451938837,271.97200000000004,4260009.992833126,42.521659368649125
10,630348.4839230482,4213111.459997911,271.2,4260005.561680621,46.95281187444925
11,630351.8571940461,4213106.534175407,270.452,4260001.189222779,51.325269715860486
12,630355.185186239,4213101.674471327,269.728,4259996.87545945,55.639033044688404
13,630358.4678996262,4213096.88088567,269.028,4259992.620390478,59.8941020173952
14,630361.7053342083,4213092.153418435,268.352,4259988.424015708,64.09047678671777
15,630364.8974899849,4213087.4920696225,267.7,4259984.286334993,68.22815750166774
16,630368.0443669561,4213082.896839233,267.072,4259980.207348185,72.30714431032538
17,630371.1459651222,4213078.367727268,266.468,4259976.187055139,76.32743735611439
18,630374.2022844829,4213073.904733724,265.88800000000003,4259972.225455709,80.28903678618371
19,630377.2133250382,4213069.507858603,265.332,4259968.322549755,84.19194274023175
20,630380.1790867881,4213065.177101905,264.8,4259964.478337138,88.03615535702556
21,630383.0995697327,4213060.9124636315,264.29200000000003,4259960.692817721,91.82167477440089
22,630385.974773872,4213056.713943779,263.808,4259956.965991365,95.54850113019347
23,630388.8046992059,4213052.58154235,263.348,4259953.297857942,99.21663455292583
24,630391.5893457345,4213048.515259344,262.91200000000003,4259949.688417318,102.8260751767084
25,630394.3287134577,4213044.515094761,262.5,4259946.137669365,106.37682313006371
26,630397.0228023756,4213040.5810486,262.11199999999997,4259942.645613955,109.86887853965163
27,630399.6716124881,4213036.713120863,261.748,4259939.212250966,113.30224152933806
28,630402.2751437954,4213032.911311547,261.408,4259935.837580271,116.67691222392023
29,630404.8333962972,4213029.1756206555,261.092,4259932.521601753,119.99289074167609
30,630407.3463699936,4213025.506048188,260.8,4259929.264315294,123.25017720088363
31,630409.8140648848,4213021.902594142,260.532,4259926.065720775,126.4487717198208
32,630412.2364809706,4213018.365258518,260.288,4259922.925818082,129.58867441304028
33,630414.6136182512,4213014.8940413175,260.068,4259919.8446071055,132.66988538950682
34,630416.9454767263,4213011.488942539,259.872,4259916.822087732,135.69240476284176
35,630419.2320563962,4213008.149962185,259.7,4259913.858259856,138.6562326392159
36,630421.4733572607,4213004.8771002535,259.552,4259910.95312337,141.56136912479997
37,630423.6693793198,4213001.670356745,259.428,4259908.106678172,144.4078143229708
38,630425.8201225735,4212998.529731658,259.328,4259905.318924158,147.19556833710521
39,630427.925587022,4212995.455224995,259.25199999999995,4259902.58986123,149.92463126499206
40,630429.9857726651,4212992.446836756,259.2,4259899.919489292,152.59500320255756
41,630432.0006795028,4212989.504566938,259.172,4259897.307808245,155.20668425038457
42,630433.9703075353,4212986.628415543,259.168,4259894.754817997,157.75967449788004
43,630435.8946567625,4212983.8183825705,259.18800000000005,4259892.260518458,160.25397403724492
44,630437.7737271842,4212981.074468022,259.232,4259889.824909539,162.68958295602351
