,UTM_X,UTM_Y,elevation,t,tt
0,631353.6734016566,4211643.63101032,300.0,4258702.799626614,1349.7148658810183
1,631358.3993769642,4211636.729899934,298.019,4258696.6754050525,1355.839087442495
2,631363.0687537651,4211629.911437576,296.076,4258690.624534947,1361.8899575481191
3,631367.6815320594,4211623.1756232465,294.171,4258684.647016025,1367.8674764698371
4,631372.2377118471,4211616.522456945,292.304,4258678.74284802,1373.7716444749385
5,631376.7372931279,4211609.951938674,290.475,4258672.912030671,1379.6024618241936
6,631381.1802759022,4211603.46406843,288.68399999999997,4258667.154563712,1385.3599287830293
7,631385.5666601697,4211597.058846215,286.93100000000004,4258661.47044689,1391.0440456047654
8,631389.8964459308,4211590.736272029,285.216,4258655.8596799495,1396.6548125455156
9,631394.169633185,4211584.496345871,283.539,4258650.322262639,1402.1922298558056
10,631398.3862219325,4211578.339067741,281.9,4258644.858194712,1407.6562977833673
11,631402.5462121733,4211572.264437641,280.299,4258639.467475923,1413.0470165722072
12,631406.6496039076,4211566.272455568,278.736,4258634.150106031,1418.3643864635378
13,631410.696397135,4211560.363121524,277.211,4258628.9060848,1423.6084076948464
14,631414.6865918558,4211554.53643551,275.724,4258623.735411995,1428.779080499895
15,631418.6201880701,4211548.792397523,274.275,4258618.6380873835,1433.876405111514
16,631422.4971857775,4211543.131007565,272.86400000000003,4258613.614110739,1438.9003817560151
17,631426.3175849783,4211537.552265637,271.491,4258608.663481836,1443.8510106587783
18,631430.0813856724,4211532.056171736,270.156,4258603.786200454,1448.7282920405269
19,631433.78858786,4211526.6427258635,268.85900000000004,4258598.982266374,1453.532226121053
20,631437.4391915407,4211521.311928021,267.6,4258594.251679383,1458.2628131117672
21,631441.0331967147,4211516.063778206,266.379,4258589.594439268,1462.9200532268733
22,631444.5706033821,4211510.898276419,265.196,4258585.01054582,1467.5039466749877
23,631448.0514115428,4211505.815422662,264.051,4258580.499998836,1472.0144936591387
24,631451.4756211968,4211500.815216932,262.94399999999996,4258576.062798113,1476.4516943823546
25,631454.8432323441,4211495.897659232,261.875,4258571.698943453,1480.8155490420759
26,631458.154244985,4211491.06274956,260.844,4258567.408434661,1485.1060578338802
27,631461.4086591189,4211486.310487917,259.851,4258563.191271544,1489.3232209505513
28,631464.6064747463,4211481.640874302,258.896,4258559.047453917,1493.4670385783538
29,631467.7476918668,4211477.053908716,257.979,4258554.9769815905,1497.5375109044835
30,631470.8323104808,4211472.549591158,257.1,4258550.979854384,1501.5346381105483
31,631473.8603305881,4211468.127921629,256.259,4258547.056072121,1505.4584203744307
32,631476.8317521887,4211463.788900129,255.456,4258543.205634623,1509.3088578721508
33,631479.7465752827,4211459.532526657,254.69099999999997,4258539.428541719,1513.0859507760033
34,631482.6047998698,4211455.358801214,253.96399999999997,4258535.72479324,1516.7896992545575
35,631485.4064259505,4211451.267723799,253.27499999999998,4258532.09438902,1520.4201034745201
36,631488.1514535245,4211447.259294412,252.624,4258528.537328898,1523.97716359701
37,631490.8398825917,4211443.333513055,252.011,4258525.053612715,1527.4608797803521
38,631493.4717131522,4211439.490379726,251.43599999999998,4258521.643240312,1530.871252182871
39,631496.0469452061,4211435.729894426,250.899,4258518.306211541,1534.2082809535787
40,631498.5655787534,4211432.052057154,250.4,4258515.042526251,1537.4719662442803
41,631501.0276137937,4211428.45686791,249.93900000000002,4258511.852184294,1540.6623082011938
42,631503.4330503277,4211424.944326695,249.51600000000002,4258508.735185529,1543.77930696588
43,631505.7818883548,4211421.51443351,249.13100000000003,4258505.691529819,1546.822962676175
44,631508.0741278753,4211418.167188352,248.78400000000002,4258502.721217024,1549.7932754708454
45,631510.3097688891,4211414.902591223,248.47500000000002,4258499.824247013,1552.6902454821393
46,631512.4888113963,4211411.720642122,248.204,4258497.000619656,1555.5138728385791
47,631514.6112553966,4211408.621341051,247.971,4258494.250334827,1558.264157667756
48,631516.6771008903,4211405.604688007,247.77599999999998,4258491.573392404,1560.941100090742
49,631518.6863478774,4211402.670682993,247.61899999999997,4258488.969792265,1563.5447002295405
50,631520.6389963578,4211399.819326008,247.5,4258486.439534297,1566.0749581977725
51,631522.5350463316,4211397.050617049,247.41899999999998,4258483.982618383,1568.5318741118535
52,631524.3744977986,4211394.364556121,247.376,4258481.599044416,1570.9154480788857
53,631526.157350759,4211391.761143221,247.37099999999998,4258479.288812288,1573.2256802069023
54,631527.8836052127,4211389.240378349,247.40400000000002,4258477.051921897,1575.462570598349
55,631529.5532611597,4211386.802261506,247.47500000000002,4258474.88837314,1577.6261193547398
56,631531.1663186001,4211384.446792691,247.58399999999997,4258472.798165923,1579.716326572001
57,631532.7227775337,4211382.173971905,247.731,4258470.781300154,1581.7331923414022
58,631534.2226379607,4211379.983799148,247.916,4258468.837775738,1583.676716757007
59,631535.6658998809,4211377.876274419,248.13899999999998,4258466.967592591,1585.5468999035656
60,631537.0525632945,4211375.851397718,248.4,4258465.170750629,1587.3437418658286
61,631538.3826282015,4211373.909169047,248.699,4258463.447249774,1589.0672427210957
62,631539.6560946018,4211372.049588404,249.036,4258461.797089945,1590.7174025503919
63,631540.8729624953,4211370.27265579,249.411,4258460.2202710705,1592.2942214244977
64,631542.0332318823,4211368.578371204,249.824,4258458.71679308,1593.797699415125
65,631543.1369027625,4211366.966734647,250.275,4258457.286655904,1595.2278365911916
66,631544.1839751361,4211365.437746118,250.76399999999995,4258455.92985948,1596.5846330150962
67,631545.174449003,4211363.991405617,251.291,4258454.646403749,1597.8680887464434
68,631546.1083243632,4211362.627713146,251.856,4258453.436288651,1599.0782038439065
69,631546.9856012168,4211361.3466687035,252.459,4258452.299514134,1600.214978360571
70,631547.8062795635,4211360.148272289,253.10000000000002,4258451.236080146,1601.2784123485908
71,631548.5703594037,4211359.032523903,253.779,4258450.2459866395,1602.2685058554634
72,631549.277840737,4211357.999423546,254.496,4258449.329233571,1603.1852589240298
73,631549.9287235639,4211357.048971217,255.25099999999998,4258448.485820898,1604.0286715971306
74,631550.5230078839,4211356.181166917,256.04400000000004,4258447.715748584,1604.7987439110875
75,631551.0606936974,4211355.396010646,256.875,4258447.019016594,1605.4954759012908
76,631551.5417810043,4211354.693502402,257.74399999999997,4258446.3956248965,1606.118867598474
77,631551.9662698043,4211354.073642188,258.651,4258445.845573465,1606.6689190296456
78,631552.3341600978,4211353.536430002,259.596,4258445.368862274,1607.1456302208826
79,631552.6454518845,4211353.081865845,260.579,4258444.965491303,1607.5490011917427
80,631552.9001451646,4211352.709949716,261.6,4258444.635460532,1607.879031962715
81,631553.098239938,4211352.420681616,262.659,4258444.378769949,1608.135722545907
82,631553.2397362046,4211352.214061544,263.756,4258444.19541954,1608.319072955288
83,631553.3246339647,4211352.090089502,264.89099999999996,4258444.085409298,1608.4290831973776
84,631553.352933218,4211352.048765487,266.064,4258444.048739217,1608.4657532777637
85,631553.3246339646,4211352.090089503,267.27500000000003,4258444.085409299,1608.4290831964463
86,631553.2397362045,4211352.214061544,268.524,4258444.19541954,1608.319072955288
87,631553.0982399379,4211352.420681616,269.81100000000004,4258444.378769949,1608.135722545907
88,631552.9001451646,4211352.709949716,271.13599999999997,4258444.635460532,1607.879031962715
89,631552.6454518845,4211353.081865845,272.499,4258444.965491303,1607.5490011917427
90,631552.3341600979,4211353.536430002,273.9,4258445.368862274,1607.1456302208826
91,631551.9662698044,4211354.073642188,275.33900000000006,4258445.845573465,1606.6689190296456
92,631551.5417810043,4211354.693502402,276.81600000000003,4258446.3956248965,1606.118867598474
93,631551.0606936974,4211355.396010646,278.331,4258447.019016594,1605.4954759012908
94,631550.523007884,4211356.181166917,279.88400000000007,4258447.715748584,1604.7987439110875
95,631549.9287235639,4211357.048971217,281.475,4258448.485820898,1604.0286715971306
96,631549.2778407371,4211357.999423545,283.104,4258449.32923357,1603.185258924961
97,631548.5703594036,4211359.032523903,284.771,4258450.2459866395,1602.2685058554634
98,631547.8062795635,4211360.148272289,286.476,4258451.236080146,1601.2784123485908
99,631546.9856012167,4211361.3466687035,288.219,4258452.299514134,1600.214978360571
