,UTM_X,UTM_Y,elevation,t,tt
0,630497.8745124025,4212893.312233539,365.08780476800007,4259811.924255194,240.590237300843
1,630500.7871046076,4212889.059117726,368.1368268785857,4259808.149080587,244.3654119083658
2,630503.6824009165,4212884.8312582625,370.9916811452034,4259804.396327028,248.11816546693444
3,630506.5607818478,4212880.6280994965,373.6561470410249,4259800.665501258,251.84899123664945
4,630509.4226279205,4212876.449085776,376.1340040392212,4259796.956110017,255.5583824776113
5,630512.2683196535,4212872.293661446,378.4290316129641,4259793.267660045,259.2468324499205
6,630515.0982375647,4212868.161270856,380.5450092354245,4259789.599658088,262.9148344071582
7,630517.9127621739,4212864.051358351,382.4857163797742,4259785.9516108865,266.5628816084936
8,630520.7122739996,4212859.963368279,384.25493251918454,4259782.32302519,270.191467304714
9,630523.4971535603,4212855.896744987,385.8564371268266,4259778.713407747,273.80108474753797
10,630526.2677813749,4212851.850932823,387.2940096758721,4259775.122265308,277.3922271868214
11,630529.024537962,4212847.8253761325,388.57142963949224,4259771.5491046235,280.96538787148893
12,630531.7678038408,4212843.819519264,389.6924764908585,4259767.993432447,284.5210600476712
13,630534.4979595297,4212839.832806563,390.6609297031424,4259764.4547555335,288.05973696149886
14,630537.2153855478,4212835.864682377,391.48056874951504,4259760.932580639,291.5819118563086
15,630539.9204624136,4212831.914591055,392.155173103148,4259757.426414523,295.08807797171175
16,630542.6135706459,4212827.981976942,392.6885222372126,4259753.935763944,298.57872855104506
17,630545.2950907637,4212824.0662843855,393.0843956248804,4259750.460135664,302.0543568311259
18,630547.9654032857,4212820.166957732,393.3465727393227,4259746.999036444,305.5154560506344
19,630550.6248887305,4212816.283441328,393.4788330537108,4259743.55197305,308.96251944452524
20,630553.2739276169,4212812.415179525,393.48495604121604,4259740.118452248,312.39604024682194
21,630555.9129004634,4212808.561616664,393.3687211750101,4259736.697980803,315.81651169154793
22,630558.5421877897,4212804.722197096,393.13390792826397,4259733.290065487,319.22442700807005
