,UTM_X,UTM_Y,elevation,t,tt
0,630524.8145430629,4212853.973025588,244.83580379999998,4259777.005876252,275.50861624255776
1,630526.9269894175,4212850.888323589,246.70428059133613,4259774.267834808,278.24665768723935
2,630529.0381422539,4212847.805510452,248.40225985012958,4259771.531471474,280.9830210208893
3,630531.1482204509,4212844.724266558,249.93334256155737,4259768.796502548,283.71798994671553
4,630533.257442887,4212841.644272288,251.30112971079674,4259766.06264433,286.4518481651321
5,630535.3660284409,4212838.565208028,252.50922228302494,4259763.32961312,289.18487937469035
6,630537.4741959907,4212835.4867541585,253.56122126341916,4259760.59712522,291.91736727487296
7,630539.582164416,4212832.40859106,254.46072763715654,4259757.864896928,294.64959556702524
8,630541.6901525946,4212829.330399117,255.21134238941443,4259755.132644547,297.3818479478359
9,630543.7983794049,4212826.251858712,255.8166665053698,4259752.400084382,300.1144081130624
10,630545.9070637263,4212823.172650225,256.28030097019996,4259749.666932733,302.8475597621873
11,630548.0164244369,4212820.092454041,256.6058467690822,4259746.932905906,305.5815865891054
12,630550.1266804151,4212817.010950542,256.7969048871936,4259744.1977202045,308.31677229050547
13,630552.2380505399,4212813.927820109,256.8570763097114,4259741.461091933,311.0534005621448
14,630554.3507536897,4212810.842743125,256.7899620218128,4259738.722737399,313.79175509605557
15,630556.465008743,4212807.755399972,256.59916300867496,4259735.982372907,316.5321195879951
16,630558.5810345785,4212804.665471031,256.2882802554752,4259733.239714763,319.2747777318582
17,630560.699050075,4212801.572636687,255.86091474739055,4259730.494479277,322.02001321781427
18,630562.819274111,4212798.476577321,255.3206674695984,4259727.746382755,324.7681097397581
19,630564.9419255647,4212795.376973316,254.67113940727583,4259724.99514151,327.5193509850651
20,630567.0672233149,4212792.2735050535,253.91593154560007,4259722.240471847,330.2740206476301
21,630569.1953862405,4212789.165852915,253.05864486974818,4259719.482090076,333.03240241855383
22,630571.3266332197,4212786.053697283,252.1028803648976,4259716.719712511,335.79477998428047
23,630573.4611831312,4212782.936718542,251.0522390162254,4259713.95305546,338.56143703497946
24,630575.5992548537,4212779.814597074,249.9103218089088,4259711.18183524,341.33265725523233
25,630577.7410672656,4212776.687013259,248.680729728125,4259708.405768159,344.10872433613986
26,630579.8868392458,4212773.553647481,247.3670637590512,4259705.624570532,346.8899219632149
27,630582.0367896727,4212770.41418012,245.97292488686463,4259702.837958671,349.67653382383287
28,630584.1911374249,4212767.268291562,244.50191409674238,4259700.045648894,352.4688436007127
29,630586.3501013806,4212764.115662186,242.95763237386177,4259697.247357514,355.2671349812299
30,630588.5139004193,4212760.955972378,241.3436807034,4259694.442800851,358.071691644378
31,630590.6827534188,4212757.7889025165,239.66366007053415,4259691.631695215,360.8827972803265
32,630592.856879258,4212754.6141329855,237.92117146044154,4259688.813756928,363.7007355671376
33,630595.0364968153,4212751.431344167,236.11981585829932,4259685.9887023065,366.52579018846154
34,630597.2218249697,4212748.240216443,234.2631942492847,4259683.15624767,369.35824482515454
35,630599.4130825994,4212745.0404301975,232.35490761857494,4259680.316109337,372.19838315807283
36,630601.6104885832,4212741.831665811,230.3985569513472,4259677.468003629,375.04648886621
37,630603.8142617996,4212738.613603667,228.39774323277857,4259674.611646866,377.9028456285596
38,630606.024621127,4212735.385924147,226.35606744804642,4259671.746755369,380.7677371259779
39,630608.2417854443,4212732.148307634,224.2771305823278,4259668.87304546,383.64144703466445
40,630610.4659736301,4212728.900434509,222.1645336208,4259665.990233463,386.52425903175026
41,630612.6974045627,4212725.641985156,220.02187754864016,4259663.098035701,389.41645679436624
42,630614.9362971211,4212722.372639955,217.8527633510256,4259660.196168496,392.318323998712
43,630617.1828701834,4212719.092079291,215.66079201313346,4259657.284348178,395.2301443172619
44,630619.4373426286,4212715.799983544,213.44956452014083,4259654.362291068,398.1522014271468
45,630621.699933335,4212712.496033099,211.222681857225,4259651.429713495,401.08477899990976
