X,Y,SAMPLE_1
"631283","4212444",418.027069091797
"631327","4212453",412.691223144531
"631315","4212412",410.632751464844
"631386","4212469",404.995727539062
"631433","4212481",399.953369140625
"631424","4212444",395.41015625
"631501","4212506",389.473510742188
"631545","4212515",382.040008544922
"631536","4212477",383.62890625
"631601","4212543",377.685516357422
"631638","4212558",372.232147216797
"631636","4212515",373.599853515625
"631693","4212578",367.796478271484
"631732","4212602",361.627960205078
"631733","4212561",362.139282226562
"631796","4212631",357.472076416016
"631844","4212657",352.865020751953
"631841","4212613",354.865356445312
"631905","4212689",351.113372802734
"631947","4212711",348.333740234375
"631944","4212674",347.139129638672
"632013","4212749",346.378326416016
"632052","4212766",345.379669189453
"632052","4212727",343.039184570312
"632118","4212804",338.908569335938
"632164","4212826",333.917144775391
"632160","4212780",333.195648193359
"632237","4212863",329.031005859375
"632276","4212885",328.255737304688
"632279","4212839",326.327606201172
"632340","4212920",329.816864013672
"632381","4212944",328.908447265625
"632385","4212900",325.745239257812
"632449","4212984",325.556579589844
"632494","4213007",323.468139648438
"632493","4212966",322.419281005859
"632556","4213045",317.990814208984
"632596","4213070",315.356414794922
"632599","4213024",316.329772949219
"632658","4213108",314.382202148438
"632706","4213136",313.318481445312
"632704","4213088",316.098571777344
"632764","4213173",310.828430175781
"632804","4213197",310.082305908203
"632806","4213150",310.100433349609
"631231","4212431",420.841766357422
"631195","4212423",422.216278076172
"631228","4212397",413.768096923828
"631133","4212407",422.174133300781
"631079","4212401",420.107116699219
"631115","4212371",408.304412841797
"631007","4212389",410.934906005859
"630952","4212382",403.275939941406
"630986","4212356",403.643310546875
