SAMPLE_1,X,Y
401.70068359375,"630919","4212377"
407.515960693359,"630994","4212388"
398.797607421875,"630969","4212327"
421.119842529297,"631119","4212402"
421.730529785156,"631205","4212424"
407.827484130859,"631176","4212363"
415.661071777344,"631319","4212453"
401.373474121094,"631398","4212470"
399.364166259766,"631387","4212395"
385.665313720703,"631527","4212510"
374.940643310547,"631609","4212542"
374.310791015625,"631598","4212460"
361.627960205078,"631734","4212603"
356.126159667969,"631809","4212642"
356.267608642578,"631816","4212546"
349.792816162109,"631927","4212699"
347.511871337891,"632006","4212742"
342.623260498047,"632006","4212656"
337.965148925781,"632113","4212796"
330.112121582031,"632203","4212846"
330.298431396484,"632188","4212764"
329.900634765625,"632328","4212914"
327.539733886719,"632407","4212957"
322.940979003906,"632410","4212864"
322.089691162109,"632514","4213018"
315.356414794922,"632589","4213061"
318.268981933594,"632596","4212971"
313.77392578125,"632696","4213132"
310.512847900391,"632779","4213179"
315.31396484375,"632786","4213093"
