X,Y,SAMPLE_1
"631720","4213700",369.994903564453
"631756","4213719",369.301788330078
"631750","4213694",375.194671630859
"631803","4213752",366.140228271484
"631832","4213776",362.936309814453
"631836","4213744",366.041107177734
"631864","4213817",361.461822509766
"631893","4213839",360.849212646484
"631895","4213807",361.325622558594
"631924","4213880",358.801879882812
"631954","4213899",357.122863769531
"631952","4213868",357.079772949219
"632004","4213925",358.451385498047
"632038","4213940",346.326385498047
"632030","4213912",346.326385498047
"632088","4213977",346.326385498047
"632121","4213992",346.326385498047
"632115","4213961",346.326385498047
"632184","4214012",346.326385498047
"632210","4214024",346.326385498047
"632210","4213996",346.326385498047
"630854","4213193",424.001495361328
"630895","4213225",427.090209960938
"630899","4213181",426.955932617188
"630955","4213266",431.891479492188
"631006","4213295",433.666656494141
"631002","4213251",438.090759277344
"631068","4213327",442.214416503906
"631108","4213357",443.924346923828
"631116","4213314",447.557250976562
"631155","4213396",439.680816650391
"631195","4213430",431.409698486328
"631206","4213387",433.344940185547
"631236","4213470",423.782928466797
"631289","4213483",416.305236816406
"631275","4213443",416.496887207031
"631352","4213510",402.951568603516
"631395","4213528",396.682098388672
"631388","4213488",399.849853515625
"631462","4213557",391.5341796875
"631510","4213578",388.742462158203
"631506","4213532",392.95849609375
"631585","4213617",386.777069091797
"631634","4213643",381.577789306641
"631633","4213603",394.756591796875
"630799","4213143",418.508392333984
"630756","4213108",414.31494140625
"630808","4213095",417.755981445312
"630706","4213062",411.677032470703
"630667","4213033",410.570404052734
"630714","4213017",413.071350097656
"630599","4212984",409.348449707031
"630557","4212955",411.001617431641
"630604","4212936",412.116577148438
