SAMPLE_1,X,Y
411.001617431641,"630543","4212943"
410.056060791016,"630615","4212993"
415.812377929688,"630625","4212900"
412.655426025391,"630729","4213079"
418.508392333984,"630797","4213136"
417.714874267578,"630822","4213061"
429.056854248047,"630915","4213229"
435.725982666016,"630997","4213282"
439.510833740234,"630994","4213200"
444.881378173828,"631133","4213361"
430.306243896484,"631208","4213429"
442.796844482422,"631230","4213343"
402.951568603516,"631348","4213511"
394.965728759766,"631430","4213544"
410.773101806641,"631427","4213468"
386.777069091797,"631577","4213604"
380.530792236328,"631655","4213651"
409.758361816406,"631655","4213579"
366.140228271484,"631802","4213755"
361.551727294922,"631852","4213823"
369.3203125,"631892","4213755"
360.134460449219,"631970","4213919"
357.113891601562,"632056","4213962"
346.326385498047,"632053","4213880"
346.326385498047,"632185","4214019"
346.326385498047,"632271","4214051"
346.326385498047,"632256","4213984"
