UTM_X,UTM_Y,latitude,longitude,elevation
631196.4093965006,4213775.833598144,38.062234206067316,-1.504466554071463,405.54144
631207.7290978362,4213759.303992428,38.0620836371881,-1.504340591287093,405.9018
631219.0487991719,4213742.774386712,38.061933068180885,-1.504214629013393,405.9018
631230.3685005076,4213726.244780996,38.061782499045634,-1.5040886672503884,408.7185
631241.6882018433,4213709.71517528,38.0616319297824,-1.503962705998028,410.3106
631253.0079031789,4213693.185569564,38.06148136039112,-1.5038367452563377,410.3106
631264.3276045147,4213676.655963847,38.061330790871835,-1.5037107850252915,414.42334
631275.6473058503,4213660.126358132,38.06118022122456,-1.50358482530489,416.6156
631286.967007186,4213643.596752415,38.061029651449275,-1.5034588660951582,418.0926
631298.2867085217,4213627.067146699,38.060879081545984,-1.503332907396071,418.1517
631309.6064098574,4213610.537540983,38.0607285115147,-1.5032069492076026,418.10834
631320.926111193,4213594.007935267,38.0605779413554,-1.5030809915297787,416.03094
631332.2458125288,4213577.478329551,38.06042737106812,-1.5029550343625737,408.33942
631343.5655138644,4213560.948723835,38.060276800652844,-1.5028290777059876,408.33942
631354.8852152001,4213544.4191181185,38.06012623010956,-1.5027031215600462,404.53033
631366.2049165358,4213527.889512403,38.059975659438315,-1.502577165924698,398.93298
631377.5246178715,4213511.3599066865,38.05982508863905,-1.5024512107999435,398.93298
631388.8443192071,4213494.83030097,38.059674517711834,-1.5023252561858078,399.84985
631400.1640205429,4213478.3006952545,38.05952394665661,-1.502199302082266,401.78827
631411.4837218785,4213461.771089538,38.05937337547342,-1.5020733484893174,408.69193
631422.8034232142,4213445.241483822,38.05922280416224,-1.5019473954069624,408.35318
631434.1231245499,4213428.711878106,38.0590722327231,-1.5018214428351755,417.44656
631445.4428258856,4213412.1822723895,38.05892166115596,-1.5016954907739821,426.56992
631456.7625272212,4213395.652666674,38.05877108946087,-1.5015695392233568,435.9079
631468.0822285569,4213379.1230609575,38.05862051763779,-1.5014435881832742,435.9079
631479.4019298926,4213362.593455241,38.05846994568677,-1.501317637653785,441.6204
631490.7216312282,4213346.0638495255,38.058319373607766,-1.5011916876348386,444.18805
631502.041332564,4213329.534243809,38.058168801400804,-1.50106573812646,444.18805
631513.3610338996,4213313.0046380935,38.05801822906587,-1.5009397891286242,445.57047
631524.6807352353,4213296.475032377,38.057867656603,-1.5008138406413312,444.03046
631536.000436571,4213279.945426661,38.05771708401215,-1.5006878926645806,444.89905
631547.3201379067,4213263.415820945,38.05756651129336,-1.5005619451983474,444.89905
631558.6398392423,4213246.886215229,38.05741593844661,-1.5004359982426567,444.80777
631569.9595405781,4213230.356609512,38.05726536547192,-1.5003100517974832,446.84503
631581.2792419137,4213213.827003797,38.05711479236927,-1.500184105862827,449.6716
631592.5989432494,4213197.29739808,38.05696421913868,-1.5000581604386878,450.63498
631603.9186445851,4213180.767792365,38.05681364578015,-1.4999322155250658,455.84927
631615.2383459208,4213164.238186648,38.056663072293674,-1.4998062711219358,460.7569
631626.5580472564,4213147.708580932,38.05651249867925,-1.4996803272292973,463.52057
631637.8777485922,4213131.178975216,38.05636192493691,-1.499554383847176,467.91156
631649.1974499278,4213114.6493695,38.056211351066615,-1.4994284409755212,472.35403
631660.5171512635,4213098.119763783,38.0560607770684,-1.4993024986143582,473.24283
631671.8368525992,4213081.590158068,38.05591020294225,-1.4991765567636868,473.24283
631683.1565539349,4213065.060552351,38.05575962868818,-1.4990506154234562,471.14743
631694.4762552705,4213048.530946636,38.055609054306174,-1.4989246745937173,464.78055
631705.7959566062,4213032.001340919,38.055458479796265,-1.4987987342744449,455.63104
631717.1156579419,4213015.471735203,38.0553079051584,-1.4986727944656386,451.39584
631728.4353592775,4212998.942129487,38.055157330392646,-1.4985468551672734,439.40714
631739.7550606133,4212982.412523771,38.05500675549895,-1.498420916379349,426.036
631751.0747619489,4212965.882918054,38.054856180477344,-1.4982949781018906,420.07596
631762.3944632846,4212949.353312339,38.05470560532784,-1.498169040334848,407.4215
631773.7141646203,4212932.823706622,38.054555030050416,-1.4980431030782715,396.2464
631785.033865956,4212916.294100907,38.054404454645095,-1.497917166332085,383.75488
631796.3535672916,4212899.76449519,38.05425387911185,-1.497791230096365,383.75488
631807.6732686274,4212883.234889474,38.05410330345071,-1.4976652943710347,376.41357
