,UTM_X,UTM_Y,latitude,longitude,elevation,color
0,630489.6179797188,4212905.3688439885,38.05449374604612,-1.5126796717151243,413.95062,brown
1,630671.1458796381,4212640.292538248,38.05207927623261,-1.5106596662805003,445.64523,#00008B
2,630697.1893661171,4212602.262509875,38.05173287382112,-1.5103698704451127,445.79636,#00feff
3,630855.1127893705,4212371.654665877,38.04963233199497,-1.5086126539785705,404.91074,red
4,631339.4747463258,4211664.364611579,38.04318967095837,-1.5032237702420816,354.2755,#B163FF
5,631481.1481954041,4211457.485809368,38.04130518056172,-1.5016477252977167,348.6758,#00008B
