X,Y,Z,SAMPLE_1
631702.739837813,4212797.93299953,0,372.23046875
631530.553970195,4212818.61148716,0,429.900207519531
631349.546048493,4212814.78257581,0,481.253814697266
631152.448509143,4212786.71904047,0,474.114562988281
631029.984296331,4212763.54725639,0,438.513427734375
