X,Y,Z,SAMPLE_1,lon,lat
630879.671936644,4212375.20298815,0,403.081176757812,-1.508332186,38.049660751
631118.094748911,4212409.64940802,0,421.119842529297,-1.505609363,38.049936596
631518.502753706,4212507.99738026,0,385.665313720703,-1.501029162,38.050764589
631758.52057712,4212614.74217107,0,359.567596435547,-1.498274792,38.051691419
632020.69156588,4212757.66469422,0,347.248107910156,-1.495261265,38.052940902
632250.540400401,4212875.40027385,0,328.761657714844,-1.492620581,38.053968103
632523.276950512,4213032.03269521,0,320.161499023438,-1.48948394,38.055339411
632874.77110432,4213248.55423506,0,306.975524902344,-1.485438645,38.057238651
