,X,Y,Z,t,tt
0,631691.9212071485,4213686.447845075,374.56042,4260773.188527128,260.2090890966356
1,631717.5195957897,4213649.067771137,100.0,4260740.016815486,293.3808007379994
2,631796.7575051396,4213533.360531123,0.0,4260637.33766472,396.05995150469244
