X,Y,Z,distance,angle,SAMPLE_1
633307.462649113,4212592.61905645,0,0,230.980599524746,367.549865722656
633303.577984974,4212589.47113896,0,5,230.980599524746,370.007934570312
633299.693320836,4212586.32322147,0,10,230.980599524746,370.007934570312
633295.808656698,4212583.17530398,0,15,230.980599524746,370.007934570312
633291.923992559,4212580.02738649,0,20,230.980599524746,370.007934570312
633288.039328421,4212576.879469,0,25,230.980599524746,371.238586425781
633284.154664283,4212573.7315515,0,30,230.980599524746,371.238586425781
633280.270000145,4212570.58363401,0,35,230.980599524746,371.238586425781
633276.385336006,4212567.43571652,0,40,230.980599524746,371.238586425781
633272.500671868,4212564.28779903,0,45,230.980599524746,371.238586425781
633268.61600773,4212561.13988154,0,50,230.980599524746,371.238586425781
633264.731343591,4212557.99196405,0,55,230.980599524746,372.861968994141
633260.846679453,4212554.84404656,0,60,230.980599524746,372.861968994141
633256.962015315,4212551.69612906,0,65,230.980599524746,372.861968994141
633253.077351176,4212548.54821157,0,70,230.980599524746,372.861968994141
633249.192687038,4212545.40029408,0,75,230.980599524746,372.861968994141
633245.3080229,4212542.25237659,0,80,230.980599524746,374.845245361328
633241.423358761,4212539.1044591,0,85,230.980599524746,374.845245361328
633237.538694623,4212535.95654161,0,90,230.980599524746,374.845245361328
633233.654030485,4212532.80862412,0,95,230.980599524746,374.845245361328
633229.769366347,4212529.66070662,0,100,230.980599524746,374.845245361328
633225.884702208,4212526.51278913,0,105,230.980599524746,373.448089599609
633222.00003807,4212523.36487164,0,110,230.980599524746,375.708129882812
633218.115373932,4212520.21695415,0,115,230.980599524746,375.708129882812
633214.085045138,4212517.27260511,0,120,237.847704859276,375.708129882812
633209.851862392,4212514.61174738,0,125,237.847704859276,375.708129882812
633205.618679646,4212511.95088966,0,130,237.847704859276,375.708129882812
633201.3854969,4212509.29003193,0,135,237.847704859276,375.708129882812
633197.152314154,4212506.6291742,0,140,237.847704859276,378.019744873047
633192.919131408,4212503.96831648,0,145,237.847704859276,378.019744873047
633188.685948662,4212501.30745875,0,150,237.847704859276,378.019744873047
633184.452765916,4212498.64660103,0,155,237.847704859276,378.019744873047
633180.21958317,4212495.9857433,0,160,237.847704859276,378.019744873047
633175.986400423,4212493.32488557,0,165,237.847704859276,379.876831054688
633171.753217677,4212490.66402785,0,170,237.847704859276,376.706909179688
633167.520034931,4212488.00317012,0,175,237.847704859276,376.706909179688
633163.286852185,4212485.3423124,0,180,237.847704859276,376.706909179688
633158.955144967,4212482.85995611,0,185,244.358994175717,376.706909179688
633154.447529679,4212480.69630077,0,190,244.358994175717,378.475646972656
633149.939914392,4212478.53264543,0,195,244.358994175717,378.475646972656
633145.432299105,4212476.36899009,0,200,244.358994175717,378.475646972656
633140.924683817,4212474.20533476,0,205,244.358994175717,378.475646972656
633136.41706853,4212472.04167942,0,210,244.358994175717,378.475646972656
633131.909453243,4212469.87802408,0,215,244.358994175717,378.475646972656
633127.401837955,4212467.71436874,0,220,244.358994175717,380.136169433594
633122.894222668,4212465.5507134,0,225,244.358994175717,380.136169433594
633118.208528787,4212463.85461154,0,230,253.940012692642,380.136169433594
633113.40366587,4212462.47139343,0,235,253.940012692642,380.136169433594
633108.598802953,4212461.08817532,0,240,253.940012692642,380.136169433594
633103.793940036,4212459.70495721,0,245,253.940012692642,381.306030273438
633098.989077119,4212458.32173909,0,250,253.940012692642,381.306030273438
633094.184214201,4212456.93852098,0,255,253.940012692642,381.306030273438
633089.379351284,4212455.55530287,0,260,253.940012692642,381.306030273438
633084.574488367,4212454.17208476,0,265,253.940012692642,381.306030273438
633079.76962545,4212452.78886664,0,270,253.940012692642,382.054840087891
633074.964762533,4212451.40564853,0,275,253.940012692642,382.054840087891
633070.159899615,4212450.02243042,0,280,253.940012692642,382.054840087891
633065.355036698,4212448.63921231,0,285,253.940012692642,378.053802490234
633060.550173781,4212447.25599419,0,290,253.940012692642,378.053802490234
633055.745310864,4212445.87277608,0,295,253.940012692642,379.035034179688
633050.940447947,4212444.48955797,0,300,253.940012692642,379.035034179688
633046.135585029,4212443.10633986,0,305,253.940012692642,379.035034179688
633041.330722112,4212441.72312174,0,310,253.940012692642,379.035034179688
633036.525859195,4212440.33990363,0,315,253.940012692642,379.035034179688
633031.720996278,4212438.95668552,0,320,253.940012692642,381.578247070312
633026.916133361,4212437.57346741,0,325,253.940012692642,381.578247070312
633022.111270443,4212436.19024929,0,330,253.940012692642,381.578247070312
633017.306407526,4212434.80703118,0,335,253.940012692642,381.578247070312
633012.90855642,4212432.45316389,0,340,240.561510325259,381.578247070312
633008.554137223,4212429.99571939,0,345,240.561510325259,383.884826660156
633004.199718026,4212427.5382749,0,350,240.561510325259,383.884826660156
632999.845298829,4212425.0808304,0,355,240.561510325259,383.884826660156
632995.490879632,4212422.6233859,0,360,240.561510325259,383.884826660156
632991.136460435,4212420.1659414,0,365,240.561510325259,383.884826660156
632986.782041239,4212417.70849691,0,370,240.561510325259,384.199951171875
632982.427622042,4212415.25105241,0,375,240.561510325259,384.199951171875
632978.073202845,4212412.79360791,0,380,240.561510325259,384.199951171875
632973.718783648,4212410.33616341,0,385,240.561510325259,384.199951171875
632969.364364451,4212407.87871892,0,390,240.561510325259,384.199951171875
632965.009945254,4212405.42127442,0,395,240.561510325259,382.806701660156
632960.655526057,4212402.96382992,0,400,240.561510325259,384.186492919922
632956.30110686,4212400.50638543,0,405,240.561510325259,384.186492919922
632951.946687663,4212398.04894093,0,410,240.561510325259,384.186492919922
632947.592268466,4212395.59149643,0,415,240.561510325259,384.186492919922
632943.237849269,4212393.13405193,0,420,240.561510325259,384.186492919922
632938.883430072,4212390.67660744,0,425,240.561510325259,385.908050537109
632934.529010875,4212388.21916294,0,430,240.561510325259,385.908050537109
632930.174591678,4212385.76171844,0,435,240.561510325259,385.908050537109
632925.820172481,4212383.30427394,0,440,240.561510325259,385.908050537109
632921.465753284,4212380.84682945,0,445,240.561510325259,385.908050537109
632917.111334087,4212378.38938495,0,450,240.561510325259,387.095397949219
632912.75691489,4212375.93194045,0,455,240.561510325259,387.095397949219
632908.402495693,4212373.47449596,0,460,240.561510325259,387.095397949219
632904.048076496,4212371.01705146,0,465,240.561510325259,387.095397949219
632899.6936573,4212368.55960696,0,470,240.561510325259,390.591857910156
632895.339238103,4212366.10216246,0,475,240.561510325259,390.591857910156
632890.984818906,4212363.64471797,0,480,240.561510325259,392.070922851562
632886.630399709,4212361.18727347,0,485,240.561510325259,392.070922851562
632882.275980512,4212358.72982897,0,490,240.561510325259,392.070922851562
632877.921561315,4212356.27238447,0,495,240.561510325259,392.070922851562
632873.567142118,4212353.81493998,0,500,240.561510325259,392.070922851562
632869.212722921,4212351.35749548,0,505,240.561510325259,392.309539794922
632864.858303724,4212348.90005098,0,510,240.561510325259,392.309539794922
632860.503884527,4212346.44260649,0,515,240.561510325259,392.309539794922
632856.098743631,4212344.08446169,0,520,245.323136829992,392.309539794922
632851.555359411,4212341.99696083,0,525,245.323136829992,392.309539794922
632847.011975191,4212339.90945997,0,530,245.323136829992,391.192474365234
632842.468590971,4212337.82195911,0,535,245.323136829992,391.192474365234
632837.925206751,4212335.73445826,0,540,245.323136829992,391.192474365234
632833.381822532,4212333.6469574,0,545,245.323136829992,391.192474365234
632828.838438312,4212331.55945654,0,550,245.323136829992,397.543273925781
632824.295054092,4212329.47195568,0,555,245.323136829992,396.302520751953
632819.751669872,4212327.38445483,0,560,245.323136829992,396.302520751953
632815.208285652,4212325.29695397,0,565,245.323136829992,396.302520751953
632810.664901432,4212323.20945311,0,570,245.323136829992,396.302520751953
632806.121517213,4212321.12195225,0,575,245.323136829992,396.302520751953
632801.578132993,4212319.0344514,0,580,245.323136829992,396.302520751953
632798.043356313,4212315.94487583,0,585,204.304549265729,395.5849609375
632795.985422701,4212311.38802283,0,590,204.304549265729,395.5849609375
632793.927489089,4212306.83116983,0,595,204.304549265729,395.5849609375
632791.869555477,4212302.27431684,0,600,204.304549265729,395.5849609375
632789.811621865,4212297.71746384,0,605,204.304549265729,402.183197021484
632787.753688253,4212293.16061084,0,610,204.304549265729,402.183197021484
632785.695754641,4212288.60375784,0,615,204.304549265729,402.183197021484
632783.637821029,4212284.04690484,0,620,204.304549265729,402.183197021484
632781.579887417,4212279.49005184,0,625,204.304549265729,401.648651123047
632779.521953804,4212274.93319885,0,630,204.304549265729,401.648651123047
632777.464020192,4212270.37634585,0,635,204.304549265729,407.417938232422
632774.194669153,4212266.75578957,0,640,231.095861544536,407.417938232422
632770.303680208,4212263.61569323,0,645,231.095861544536,407.417938232422
632766.412691263,4212260.47559689,0,650,231.095861544536,407.417938232422
632762.521702319,4212257.33550055,0,655,231.095861544536,407.417938232422
632758.630713374,4212254.19540421,0,660,231.095861544536,407.171966552734
632754.73972443,4212251.05530787,0,665,231.095861544536,407.171966552734
632750.848735485,4212247.91521153,0,670,231.095861544536,407.171966552734
632746.95774654,4212244.77511519,0,675,231.095861544536,407.171966552734
632743.066757596,4212241.63501884,0,680,231.095861544536,407.171966552734
632739.175768651,4212238.4949225,0,685,231.095861544536,411.466491699219
632735.284779706,4212235.35482616,0,690,231.095861544536,411.304107666016
632731.393790762,4212232.21472982,0,695,231.095861544536,411.304107666016
632727.502801817,4212229.07463348,0,700,231.095861544536,411.304107666016
632723.611812872,4212225.93453714,0,705,231.095861544536,411.304107666016
632719.720823928,4212222.7944408,0,710,231.095861544536,411.304107666016
632715.829834983,4212219.65434445,0,715,231.095861544536,411.304107666016
632711.938846038,4212216.51424811,0,720,231.095861544536,410.636474609375
632708.047857094,4212213.37415177,0,725,231.095861544536,410.636474609375
632704.156868149,4212210.23405543,0,730,231.095861544536,410.636474609375
632700.265879204,4212207.09395909,0,735,231.095861544536,413.450042724609
632696.37489026,4212203.95386275,0,740,231.095861544536,413.450042724609
632692.483901315,4212200.81376641,0,745,231.095861544536,411.845153808594
632688.592912371,4212197.67367007,0,750,231.095861544536,411.845153808594
632684.343901522,4212195.12142006,0,755,246.21796957685,411.845153808594
632679.768470591,4212193.10512847,0,760,246.21796957685,411.845153808594
632675.193039661,4212191.08883687,0,765,246.21796957685,411.845153808594
632670.617608731,4212189.07254527,0,770,246.21796957685,411.845153808594
632666.0421778,4212187.05625368,0,775,246.21796957685,409.447174072266
632661.46674687,4212185.03996208,0,780,246.21796957685,409.447174072266
632656.89131594,4212183.02367048,0,785,246.21796957685,409.447174072266
632652.315885009,4212181.00737889,0,790,246.21796957685,409.447174072266
632647.740454079,4212178.99108729,0,795,246.21796957685,409.447174072266
632643.165023149,4212176.97479569,0,800,246.21796957685,406.388305664062
632638.589592218,4212174.9585041,0,805,246.21796957685,406.388305664062
632634.014161288,4212172.9422125,0,810,246.21796957685,406.388305664062
632629.438730358,4212170.92592091,0,815,246.21796957685,407.545104980469
632624.863299427,4212168.90962931,0,820,246.21796957685,407.545104980469
632620.287868497,4212166.89333771,0,825,246.21796957685,404.841430664062
632615.712437567,4212164.87704612,0,830,246.21796957685,404.841430664062
632611.137006636,4212162.86075452,0,835,246.21796957685,404.841430664062
632606.561575706,4212160.84446292,0,840,246.21796957685,404.841430664062
632601.986144776,4212158.82817133,0,845,246.21796957685,404.841430664062
632597.410713845,4212156.81187973,0,850,246.21796957685,401.587341308594
632592.803524232,4212154.88079171,0,855,252.897271031724,401.587341308594
632588.024629189,4212153.41036246,0,860,252.897271031724,401.587341308594
632583.245734145,4212151.93993322,0,865,252.897271031724,401.587341308594
632578.466839102,4212150.46950397,0,870,252.897271031724,401.587341308594
632573.687944058,4212148.99907473,0,875,252.897271031724,398.405883789062
632568.909049014,4212147.52864549,0,880,252.897271031724,398.405883789062
632564.130153971,4212146.05821624,0,885,252.897271031724,398.405883789062
632559.351258927,4212144.587787,0,890,252.897271031724,398.405883789062
632554.572363883,4212143.11735775,0,895,252.897271031724,398.405883789062
632549.81851202,4212141.56953509,0,900,251.241349651888,395.913482666016
632545.084104077,4212139.96162296,0,905,251.241349651888,395.913482666016
632540.349696133,4212138.35371083,0,910,251.241349651888,395.913482666016
632535.615288189,4212136.74579869,0,915,251.241349651888,395.913482666016
632530.880880246,4212135.13788656,0,920,251.241349651888,395.913482666016
632526.146472302,4212133.52997443,0,925,251.241349651888,393.432525634766
632521.412064359,4212131.9220623,0,930,251.241349651888,393.432525634766
632516.677656415,4212130.31415017,0,935,251.241349651888,393.432525634766
632511.943248472,4212128.70623804,0,940,251.241349651888,393.432525634766
632507.208840528,4212127.0983259,0,945,251.241349651888,393.432525634766
632502.474432584,4212125.49041377,0,950,251.241349651888,391.295776367188
632497.740024641,4212123.88250164,0,955,251.241349651888,391.295776367188
632493.005616697,4212122.27458951,0,960,251.241349651888,394.150817871094
632488.271208754,4212120.66667738,0,965,251.241349651888,394.150817871094
632483.53680081,4212119.05876524,0,970,251.241349651888,394.150817871094
632478.802392866,4212117.45085311,0,975,251.241349651888,393.241943359375
632474.067984923,4212115.84294098,0,980,251.241349651888,393.241943359375
632469.333576979,4212114.23502885,0,985,251.241349651888,393.241943359375
632464.406384742,4212113.44227153,0,990,262.146686698396,393.241943359375
632459.453279096,4212112.75908454,0,995,262.146686698396,393.241943359375
632454.50017345,4212112.07589755,0,1000,262.146686698396,392.221038818359
632449.547067803,4212111.39271057,0,1005,262.146686698396,392.221038818359
632444.593962157,4212110.70952358,0,1010,262.146686698396,392.221038818359
632439.640856511,4212110.0263366,0,1015,262.146686698396,392.221038818359
632434.687750865,4212109.34314961,0,1020,262.146686698396,392.221038818359
632429.734645218,4212108.65996263,0,1025,262.146686698396,391.521850585938
