X,Y,Z,distance,angle,SAMPLE_1
632422.690018929,4213923.44206263,0,0,236.659292653318,346.326385498047
632418.512933517,4213920.69398012,0,5,236.659292653318,346.326385498047
632414.335848106,4213917.94589761,0,10,236.659292653318,346.326385498047
632410.158762695,4213915.19781511,0,15,236.659292653318,346.326385498047
632405.981677284,4213912.4497326,0,20,236.659292653318,346.326385498047
632401.804591873,4213909.70165009,0,25,236.659292653318,346.326385498047
632397.627506461,4213906.95356758,0,30,236.659292653318,346.326385498047
632393.45042105,4213904.20548508,0,35,236.659292653318,346.326385498047
632389.273335639,4213901.45740257,0,40,236.659292653318,346.326385498047
632385.096250228,4213898.70932006,0,45,236.659292653318,346.326385498047
632380.919164816,4213895.96123755,0,50,236.659292653318,346.326385498047
632376.742079405,4213893.21315505,0,55,236.659292653318,346.326385498047
632372.564993994,4213890.46507254,0,60,236.659292653318,346.326385498047
632368.387908583,4213887.71699003,0,65,236.659292653318,346.326385498047
632364.210823172,4213884.96890752,0,70,236.659292653318,346.326385498047
632360.033737761,4213882.22082502,0,75,236.659292653318,346.326385498047
632355.856652349,4213879.47274251,0,80,236.659292653318,346.326385498047
632351.679566938,4213876.72466,0,85,236.659292653318,346.326385498047
632347.502481527,4213873.97657749,0,90,236.659292653318,346.326385498047
632343.325396116,4213871.22849499,0,95,236.659292653318,346.326385498047
632339.148310704,4213868.48041248,0,100,236.659292653318,346.326385498047
632334.971225293,4213865.73232997,0,105,236.659292653318,346.326385498047
632330.794139882,4213862.98424746,0,110,236.659292653318,346.326385498047
632326.617054471,4213860.23616496,0,115,236.659292653318,346.326385498047
632322.43996906,4213857.48808245,0,120,236.659292653318,346.326385498047
632318.262883648,4213854.73999994,0,125,236.659292653318,346.326385498047
632314.085798237,4213851.99191744,0,130,236.659292653318,346.326385498047
632309.908712826,4213849.24383493,0,135,236.659292653318,346.326385498047
632305.731627415,4213846.49575242,0,140,236.659292653318,346.326385498047
632301.554542004,4213843.74766991,0,145,236.659292653318,346.326385498047
632297.377456592,4213840.99958741,0,150,236.659292653318,346.326385498047
632293.200371181,4213838.2515049,0,155,236.659292653318,346.326385498047
632289.02328577,4213835.50342239,0,160,236.659292653318,346.326385498047
632284.846200359,4213832.75533988,0,165,236.659292653318,346.326385498047
632280.669114947,4213830.00725738,0,170,236.659292653318,346.326385498047
632276.492029536,4213827.25917487,0,175,236.659292653318,346.326385498047
632272.310444784,4213824.51832764,0,180,239.588918733019,346.326385498047
632267.998365865,4213821.98732479,0,185,239.588918733019,346.326385498047
632263.686286946,4213819.45632195,0,190,239.588918733019,346.326385498047
632259.374208027,4213816.92531911,0,195,239.588918733019,346.326385498047
632255.062129108,4213814.39431626,0,200,239.588918733019,346.326385498047
632250.750050189,4213811.86331342,0,205,239.588918733019,346.326385498047
632246.43797127,4213809.33231058,0,210,239.588918733019,346.326385498047
632242.125892351,4213806.80130773,0,215,239.588918733019,346.326385498047
632237.813813432,4213804.27030489,0,220,239.588918733019,346.326385498047
632233.501734513,4213801.73930204,0,225,239.588918733019,346.326385498047
632229.189655593,4213799.2082992,0,230,239.588918733019,346.326385498047
632224.877576674,4213796.67729636,0,235,239.588918733019,349.437408447266
632220.565497755,4213794.14629351,0,240,239.588918733019,349.437408447266
632216.253418836,4213791.61529067,0,245,239.588918733019,349.437408447266
632211.941339917,4213789.08428782,0,250,239.588918733019,349.437408447266
632207.629260998,4213786.55328498,0,255,239.588918733019,349.437408447266
632203.317182079,4213784.02228214,0,260,239.588918733019,349.437408447266
632199.00510316,4213781.49127929,0,265,239.588918733019,351.991027832031
632194.693024241,4213778.96027645,0,270,239.588918733019,351.991027832031
632190.380945321,4213776.42927361,0,275,239.588918733019,351.991027832031
632186.068866402,4213773.89827076,0,280,239.588918733019,353.97900390625
632181.756787483,4213771.36726792,0,285,239.588918733019,353.97900390625
632177.860194956,4213768.23899749,0,290,230.762632886697,356.617614746094
632173.987534318,4213765.07632464,0,295,230.762632886697,356.617614746094
632170.11487368,4213761.91365178,0,300,230.762632886697,356.617614746094
632166.242213042,4213758.75097893,0,305,230.762632886697,356.617614746094
632162.369552404,4213755.58830608,0,310,230.762632886697,356.617614746094
632158.496891766,4213752.42563322,0,315,230.762632886697,356.617614746094
632154.624231128,4213749.26296037,0,320,230.762632886697,360.005706787109
632150.75157049,4213746.10028751,0,325,230.762632886697,360.005706787109
632146.878909852,4213742.93761466,0,330,230.762632886697,360.005706787109
632143.006249214,4213739.7749418,0,335,230.762632886697,364.115081787109
632139.133588576,4213736.61226895,0,340,230.762632886697,364.115081787109
632135.260927938,4213733.4495961,0,345,230.762632886697,364.115081787109
632131.3882673,4213730.28692324,0,350,230.762632886697,369.455688476562
632127.515606662,4213727.12425039,0,355,230.762632886697,369.455688476562
632123.642946025,4213723.96157753,0,360,230.762632886697,369.455688476562
632119.770285387,4213720.79890468,0,365,230.762632886697,369.455688476562
632115.897624749,4213717.63623182,0,370,230.762632886697,369.455688476562
632112.024964111,4213714.47355897,0,375,230.762632886697,369.455688476562
632108.152303473,4213711.31088612,0,380,230.762632886697,375.073669433594
632104.279642835,4213708.14821326,0,385,230.762632886697,379.656341552734
632100.406982197,4213704.98554041,0,390,230.762632886697,379.656341552734
632096.534321559,4213701.82286755,0,395,230.762632886697,379.656341552734
632092.661660921,4213698.6601947,0,400,230.762632886697,379.656341552734
632088.789000283,4213695.49752184,0,405,230.762632886697,385.772613525391
632084.916339645,4213692.33484899,0,410,230.762632886697,385.772613525391
632081.043679007,4213689.17217614,0,415,230.762632886697,385.772613525391
632077.171018369,4213686.00950328,0,420,230.762632886697,385.772613525391
632073.298357731,4213682.84683043,0,425,230.762632886697,385.772613525391
632069.425697093,4213679.68415757,0,430,230.762632886697,385.772613525391
632065.553036456,4213676.52148472,0,435,230.762632886697,396.2451171875
632061.609141181,4213673.45295075,0,440,235.007979801509,396.2451171875
