X,Y,Z,distance,angle,SAMPLE_1
632193.382665368,4214263.44951791,0,0,237.355359864926,352.410461425781
632189.17250349,4214260.75238295,0,5,237.355359864926,352.410461425781
632184.962341612,4214258.055248,0,10,237.355359864926,352.410461425781
632180.752179733,4214255.35811305,0,15,237.355359864926,356.467102050781
632176.542017855,4214252.66097809,0,20,237.355359864926,356.467102050781
632172.331855976,4214249.96384314,0,25,237.355359864926,356.467102050781
632168.121694098,4214247.26670819,0,30,237.355359864926,356.467102050781
632163.911532219,4214244.56957323,0,35,237.355359864926,356.467102050781
632159.701370341,4214241.87243828,0,40,237.355359864926,356.467102050781
632155.491208462,4214239.17530333,0,45,237.355359864926,355.815063476562
632151.281046584,4214236.47816837,0,50,237.355359864926,355.815063476562
632147.070884705,4214233.78103342,0,55,237.355359864926,355.815063476562
632142.860722827,4214231.08389847,0,60,237.355359864926,355.815063476562
632138.650560948,4214228.38676351,0,65,237.355359864926,355.815063476562
632134.44039907,4214225.68962856,0,70,237.355359864926,353.520416259766
632130.230237191,4214222.99249361,0,75,237.355359864926,358.968597412109
632126.020075313,4214220.29535865,0,80,237.355359864926,358.968597412109
632121.809913434,4214217.5982237,0,85,237.355359864926,358.968597412109
632117.599751556,4214214.90108875,0,90,237.355359864926,358.968597412109
632113.389589677,4214212.20395379,0,95,237.355359864926,358.968597412109
632109.179427799,4214209.50681884,0,100,237.355359864926,357.247650146484
632104.96926592,4214206.80968389,0,105,237.355359864926,357.247650146484
632100.759104042,4214204.11254893,0,110,237.355359864926,357.247650146484
632096.548942163,4214201.41541398,0,115,237.355359864926,357.247650146484
632092.338780285,4214198.71827903,0,120,237.355359864926,357.247650146484
632088.128618406,4214196.02114407,0,125,237.355359864926,354.097015380859
632083.918456528,4214193.32400912,0,130,237.355359864926,354.097015380859
632079.708294649,4214190.62687417,0,135,237.355359864926,354.097015380859
632075.498132771,4214187.92973921,0,140,237.355359864926,360.379425048828
632071.287970893,4214185.23260426,0,145,237.355359864926,360.379425048828
632067.077809014,4214182.5354693,0,150,237.355359864926,360.379425048828
632063.508697936,4214179.04166368,0,155,224.999999999944,358.368865966797
632059.97316403,4214175.50612977,0,160,224.999999999944,358.368865966797
632056.437630124,4214171.97059587,0,165,224.999999999944,358.368865966797
632052.902096218,4214168.43506196,0,170,224.999999999944,358.368865966797
632049.366562312,4214164.89952806,0,175,224.999999999944,358.368865966797
632045.831028406,4214161.36399415,0,180,224.999999999944,358.368865966797
632042.2954945,4214157.82846024,0,185,224.999999999944,355.157806396484
632038.759960594,4214154.29292634,0,190,224.999999999944,362.780578613281
632035.224426689,4214150.75739243,0,195,224.999999999944,362.780578613281
632031.688892783,4214147.22185853,0,200,224.999999999944,362.780578613281
632028.153358877,4214143.68632462,0,205,224.999999999944,362.780578613281
632024.617824971,4214140.15079072,0,210,224.999999999944,362.780578613281
632021.082291065,4214136.61525681,0,215,224.999999999944,358.877838134766
632017.546757159,4214133.0797229,0,220,224.999999999944,358.877838134766
632014.011223253,4214129.544189,0,225,224.999999999944,358.877838134766
632010.475689347,4214126.00865509,0,230,224.999999999944,366.541351318359
632006.884824991,4214122.53385628,0,235,230.33215888179,366.541351318359
632003.036035189,4214119.34217693,0,240,230.33215888179,366.541351318359
631999.187245387,4214116.15049759,0,245,230.33215888179,363.739105224609
631995.338455585,4214112.95881824,0,250,230.33215888179,363.739105224609
631991.489665783,4214109.76713889,0,255,230.33215888179,363.739105224609
631987.640875981,4214106.57545954,0,260,230.33215888179,363.739105224609
631983.792086179,4214103.3837802,0,265,230.33215888179,363.739105224609
631979.943296377,4214100.19210085,0,270,230.33215888179,363.739105224609
631976.094506575,4214097.0004215,0,275,230.33215888179,360.78515625
631972.245716773,4214093.80874215,0,280,230.33215888179,371.038421630859
631968.396926971,4214090.6170628,0,285,230.33215888179,371.038421630859
631964.548137169,4214087.42538346,0,290,230.33215888179,371.038421630859
631960.699347368,4214084.23370411,0,295,230.33215888179,371.038421630859
631956.850557565,4214081.04202476,0,300,230.33215888179,371.038421630859
631953.001767764,4214077.85034541,0,305,230.33215888179,368.225189208984
631949.152977962,4214074.65866606,0,310,230.33215888179,368.225189208984
631945.30418816,4214071.46698672,0,315,230.33215888179,368.225189208984
631941.455398358,4214068.27530737,0,320,230.33215888179,368.225189208984
631937.606608556,4214065.08362802,0,325,230.33215888179,368.225189208984
631933.757818754,4214061.89194867,0,330,230.33215888179,373.273651123047
631929.909028952,4214058.70026932,0,335,230.33215888179,370.130218505859
631925.974882162,4214055.64617538,0,340,246.037511025501,370.130218505859
631921.405824419,4214053.61548305,0,345,246.037511025501,370.130218505859
631916.836766675,4214051.58479072,0,350,246.037511025501,370.130218505859
631912.267708932,4214049.55409839,0,355,246.037511025501,370.130218505859
631907.698651189,4214047.52340606,0,360,246.037511025501,368.260681152344
631903.129593446,4214045.49271373,0,365,246.037511025501,368.260681152344
631898.560535703,4214043.4620214,0,370,246.037511025501,368.260681152344
631893.99147796,4214041.43132907,0,375,246.037511025501,368.260681152344
631889.422420217,4214039.40063674,0,380,246.037511025501,368.260681152344
631884.853362474,4214037.36994441,0,385,246.037511025501,366.306640625
631880.284304731,4214035.33925208,0,390,246.037511025501,366.306640625
631875.715246988,4214033.30855975,0,395,246.037511025501,366.306640625
631871.146189244,4214031.27786742,0,400,246.037511025501,366.306640625
631866.577131501,4214029.24717509,0,405,246.037511025501,366.306640625
631862.008073758,4214027.21648275,0,410,246.037511025501,364.771423339844
631857.439016015,4214025.18579043,0,415,246.037511025501,364.771423339844
631852.869958272,4214023.15509809,0,420,246.037511025501,367.766021728516
631848.300900529,4214021.12440576,0,425,246.037511025501,367.766021728516
631843.731842786,4214019.09371343,0,430,246.037511025501,367.766021728516
631839.162785043,4214017.0630211,0,435,246.037511025501,367.766021728516
631834.5937273,4214015.03232877,0,440,246.037511025501,366.611053466797
631830.024669557,4214013.00163644,0,445,246.037511025501,366.611053466797
631825.455611813,4214010.97094411,0,450,246.037511025501,366.611053466797
631820.88655407,4214008.94025178,0,455,246.037511025501,366.611053466797
631816.317496327,4214006.90955945,0,460,246.037511025501,366.611053466797
631811.748438584,4214004.87886712,0,465,246.037511025501,366.637359619141
631807.179380841,4214002.84817479,0,470,246.037511025501,366.637359619141
631802.610323098,4214000.81748246,0,475,246.037511025501,366.637359619141
631798.458549425,4213998.05193995,0,480,234.782407031667,366.637359619141
631794.373710109,4213995.16852396,0,485,234.782407031667,366.637359619141
631790.288870793,4213992.28510797,0,490,234.782407031667,367.346862792969
631786.204031477,4213989.40169199,0,495,234.782407031667,367.346862792969
631782.11919216,4213986.518276,0,500,234.782407031667,367.346862792969
631778.034352844,4213983.63486001,0,505,234.782407031667,371.488708496094
631773.949513528,4213980.75144402,0,510,234.782407031667,371.488708496094
631769.864674211,4213977.86802803,0,515,234.782407031667,371.488708496094
631765.779834895,4213974.98461205,0,520,234.782407031667,373.651947021484
631761.694995579,4213972.10119606,0,525,234.782407031667,373.651947021484
