X,Y,SAMPLE_1
"631720","4213700",369.994903564453
"631756","4213719",369.301788330078
"631750","4213694",375.194671630859
"631803","4213752",366.140228271484
"631832","4213776",362.936309814453
"631836","4213744",366.041107177734
"631864","4213817",361.461822509766
"631893","4213839",360.849212646484
"631895","4213807",361.325622558594
"631924","4213880",358.801879882812
"631954","4213899",357.122863769531
"631952","4213868",357.079772949219
"632004","4213925",358.451385498047
"632038","4213940",346.326385498047
"632030","4213912",346.326385498047
"632088","4213977",346.326385498047
"632121","4213992",346.326385498047
"632115","4213961",346.326385498047
"632184","4214012",346.326385498047
"632210","4214024",346.326385498047
"632210","4213996",346.326385498047
