X,Y
"631103","4212498"
"631115","4212432"
"631455","4212616"
"631555","4212700"
"631578","4212808"
"631578","4212850"
"631651","4212915"
"631789","4213007"
"631635","4213179"
"631463","4213041"
"631283","4212949"
"631191","4212884"
"631157","4212835"
"631145","4212781"
"631187","4212754"
"631229","4212712"
"631210","4212655"
"631161","4212559"
"631107","4212494"
