X,Y,Z,SAMPLE_1,X,Y
631838.2456,4212676.4746,0,355.037048339844,"631838","4212676"
631848.2456,4212676.4746,0,353.274230957031,"631848","4212676"
631858.2456,4212676.4746,0,353.274230957031,"631858","4212676"
631868.2456,4212676.4746,0,351.410247802734,"631868","4212676"
631878.2456,4212676.4746,0,351.410247802734,"631878","4212676"
631888.2456,4212676.4746,0,351.410247802734,"631888","4212676"
631898.2456,4212676.4746,0,350.139953613281,"631898","4212676"
631908.2456,4212676.4746,0,350.139953613281,"631908","4212676"
631918.2456,4212676.4746,0,348.489044189453,"631918","4212676"
631928.2456,4212676.4746,0,348.489044189453,"631928","4212676"
631938.2456,4212676.4746,0,348.489044189453,"631938","4212676"
631948.2456,4212676.4746,0,347.139129638672,"631948","4212676"
631958.2456,4212676.4746,0,347.139129638672,"631958","4212676"
631968.2456,4212676.4746,0,345.506774902344,"631968","4212676"
631978.2456,4212676.4746,0,345.506774902344,"631978","4212676"
631988.2456,4212676.4746,0,345.506774902344,"631988","4212676"
631998.2456,4212676.4746,0,344.176330566406,"631998","4212676"
632008.2456,4212676.4746,0,344.176330566406,"632008","4212676"
632018.2456,4212676.4746,0,341.334411621094,"632018","4212676"
632028.2456,4212676.4746,0,341.334411621094,"632028","4212676"
632038.2456,4212676.4746,0,341.334411621094,"632038","4212676"
632048.2456,4212676.4746,0,339.931579589844,"632048","4212676"
632058.2456,4212676.4746,0,339.931579589844,"632058","4212676"
632068.2456,4212676.4746,0,338.424438476562,"632068","4212676"
632078.2456,4212676.4746,0,338.424438476562,"632078","4212676"
632088.2456,4212676.4746,0,338.424438476562,"632088","4212676"
632098.2456,4212676.4746,0,336.898620605469,"632098","4212676"
632108.2456,4212676.4746,0,336.898620605469,"632108","4212676"
632118.2456,4212676.4746,0,335.380767822266,"632118","4212676"
632128.2456,4212676.4746,0,335.380767822266,"632128","4212676"
632138.2456,4212676.4746,0,335.380767822266,"632138","4212676"
632148.2456,4212676.4746,0,333.370544433594,"632148","4212676"
632158.2456,4212676.4746,0,333.370544433594,"632158","4212676"
632168.2456,4212676.4746,0,331.860565185547,"632168","4212676"
632178.2456,4212676.4746,0,331.860565185547,"632178","4212676"
632188.2456,4212676.4746,0,331.860565185547,"632188","4212676"
632198.2456,4212676.4746,0,330.539489746094,"632198","4212676"
632208.2456,4212676.4746,0,330.539489746094,"632208","4212676"
632218.2456,4212676.4746,0,330.005218505859,"632218","4212676"
632228.2456,4212676.4746,0,330.005218505859,"632228","4212676"
632238.2456,4212676.4746,0,330.005218505859,"632238","4212676"
632248.2456,4212676.4746,0,329.687286376953,"632248","4212676"
