X,Y,SAMPLE_1
"632278","4211959",407.573120117188
"632247","4211953",413.894470214844
"632281","4211936",407.573120117188
"632381","4211888",403.502227783203
"632576","4211825",346.099182128906
"632527","4211868",356.647155761719
"632662","4212056",393.244445800781
"632776","4212111",396.674926757812
"632705","4212200",413.450042724609
"632625","4212160",407.545104980469
"632476","4212111",393.241943359375
"632430","4212105",391.521850585938
"632390","4212082",390.43310546875
"632353","4212054",392.381195068359
