X,Y,Z,SAMPLE_1,X,Y
630949.9031,4213401.2881,0,421.736267089844,"630950","4213401"
630959.9031,4213401.2881,0,421.736267089844,"630960","4213401"
630969.9031,4213401.2881,0,421.736267089844,"630970","4213401"
630979.9031,4213401.2881,0,424.312255859375,"630980","4213401"
630989.9031,4213401.2881,0,424.312255859375,"630990","4213401"
630999.9031,4213401.2881,0,424.312255859375,"631000","4213401"
631009.9031,4213401.2881,0,427.149658203125,"631010","4213401"
631019.9031,4213401.2881,0,427.149658203125,"631020","4213401"
631029.9031,4213401.2881,0,430.349456787109,"631030","4213401"
631039.9031,4213401.2881,0,432.571319580078,"631040","4213401"
631049.9031,4213401.2881,0,432.571319580078,"631050","4213401"
631059.9031,4213401.2881,0,435.144653320312,"631060","4213401"
631069.9031,4213401.2881,0,435.144653320312,"631070","4213401"
631079.9031,4213401.2881,0,436.754089355469,"631080","4213401"
631089.9031,4213401.2881,0,436.754089355469,"631090","4213401"
631099.9031,4213401.2881,0,436.754089355469,"631100","4213401"
631109.9031,4213401.2881,0,438.190979003906,"631110","4213401"
631119.9031,4213401.2881,0,438.190979003906,"631120","4213401"
631129.9031,4213401.2881,0,438.094696044922,"631130","4213401"
631139.9031,4213401.2881,0,438.094696044922,"631140","4213401"
631149.9031,4213401.2881,0,438.094696044922,"631150","4213401"
631159.9031,4213401.2881,0,436.358703613281,"631160","4213401"
631169.9031,4213401.2881,0,436.358703613281,"631170","4213401"
631179.9031,4213401.2881,0,433.290130615234,"631180","4213401"
631189.9031,4213401.2881,0,436.925079345703,"631190","4213401"
631199.9031,4213401.2881,0,436.925079345703,"631200","4213401"
631209.9031,4213401.2881,0,433.344940185547,"631210","4213401"
631219.9031,4213401.2881,0,433.344940185547,"631220","4213401"
631229.9031,4213401.2881,0,429.540069580078,"631230","4213401"
631239.9031,4213401.2881,0,429.540069580078,"631240","4213401"
631249.9031,4213401.2881,0,429.540069580078,"631250","4213401"
631259.9031,4213401.2881,0,425.540283203125,"631260","4213401"
631269.9031,4213401.2881,0,425.540283203125,"631270","4213401"
631279.9031,4213401.2881,0,421.114349365234,"631280","4213401"
631289.9031,4213401.2881,0,421.114349365234,"631290","4213401"
631299.9031,4213401.2881,0,421.114349365234,"631300","4213401"
631309.9031,4213401.2881,0,417.955078125,"631310","4213401"
631319.9031,4213401.2881,0,417.955078125,"631320","4213401"
631329.9031,4213401.2881,0,415.979187011719,"631330","4213401"
631339.9031,4213401.2881,0,422.008331298828,"631340","4213401"
631349.9031,4213401.2881,0,422.008331298828,"631350","4213401"
631359.9031,4213401.2881,0,422.268005371094,"631360","4213401"
631369.9031,4213401.2881,0,422.268005371094,"631370","4213401"
631379.9031,4213401.2881,0,423.422821044922,"631380","4213401"
631389.9031,4213401.2881,0,423.422821044922,"631390","4213401"
631399.9031,4213401.2881,0,423.422821044922,"631400","4213401"
631409.9031,4213401.2881,0,425.004150390625,"631410","4213401"
631419.9031,4213401.2881,0,425.004150390625,"631420","4213401"
631429.9031,4213401.2881,0,426.569915771484,"631430","4213401"
631439.9031,4213401.2881,0,426.569915771484,"631440","4213401"
631449.9031,4213401.2881,0,426.569915771484,"631450","4213401"
631459.9031,4213401.2881,0,427.446258544922,"631460","4213401"
631469.9031,4213401.2881,0,427.446258544922,"631470","4213401"
631479.9031,4213401.2881,0,427.384552001953,"631480","4213401"
631489.9031,4213401.2881,0,435.527160644531,"631490","4213401"
631499.9031,4213401.2881,0,435.527160644531,"631500","4213401"
631509.9031,4213401.2881,0,434.381561279297,"631510","4213401"
631519.9031,4213401.2881,0,434.381561279297,"631520","4213401"
631529.9031,4213401.2881,0,433.556457519531,"631530","4213401"
631539.9031,4213401.2881,0,433.556457519531,"631540","4213401"
631549.9031,4213401.2881,0,433.556457519531,"631550","4213401"
631559.9031,4213401.2881,0,432.692810058594,"631560","4213401"
631569.9031,4213401.2881,0,432.692810058594,"631570","4213401"
631579.9031,4213401.2881,0,431.737670898438,"631580","4213401"
631589.9031,4213401.2881,0,431.737670898438,"631590","4213401"
631599.9031,4213401.2881,0,431.737670898438,"631600","4213401"
631609.9031,4213401.2881,0,430.928924560547,"631610","4213401"
631619.9031,4213401.2881,0,430.928924560547,"631620","4213401"
631629.9031,4213401.2881,0,430.28955078125,"631630","4213401"
631639.9031,4213401.2881,0,430.627807617188,"631640","4213401"
631649.9031,4213401.2881,0,430.627807617188,"631650","4213401"
631659.9031,4213401.2881,0,429.788604736328,"631660","4213401"
631669.9031,4213401.2881,0,429.788604736328,"631670","4213401"
631679.9031,4213401.2881,0,429.788604736328,"631680","4213401"
631689.9031,4213401.2881,0,428.543701171875,"631690","4213401"
631699.9031,4213401.2881,0,428.543701171875,"631700","4213401"
631709.9031,4213401.2881,0,427.317169189453,"631710","4213401"
631719.9031,4213401.2881,0,427.317169189453,"631720","4213401"
631729.9031,4213401.2881,0,427.317169189453,"631730","4213401"
631739.9031,4213401.2881,0,425.916778564453,"631740","4213401"
631749.9031,4213401.2881,0,425.916778564453,"631750","4213401"
631759.9031,4213401.2881,0,424.904907226562,"631760","4213401"
631769.9031,4213401.2881,0,424.904907226562,"631770","4213401"
631779.9031,4213401.2881,0,424.904907226562,"631780","4213401"
631789.9031,4213401.2881,0,424.395751953125,"631790","4213401"
631799.9031,4213401.2881,0,424.395751953125,"631800","4213401"
631809.9031,4213401.2881,0,422.917724609375,"631810","4213401"
631819.9031,4213401.2881,0,422.917724609375,"631820","4213401"
631829.9031,4213401.2881,0,422.917724609375,"631830","4213401"
