,X,Y,Z,t,tt
0,632619.9990088174,4212331.221264396,388.87427,4259570.680336777,1462.7172794472426
1,632679.6942093227,4212244.051285266,315.0,4259493.343468552,1540.0541476719081
2,632702.6029838779,4212210.598723407,410.63647,4259463.664808091,1569.7328081335872
