,X,Y,Z,t,tt
0,632306.5480030931,4213423.12430983,380,4260603.947225839,674.7112235827371
1,632397.0,4213289.0,257,4260484.733352533,793.9250968890265
2,632432.0,4213239.0,252,4260440.482596254,838.1758531676605
