,X,Y,Z,t,tt
0,631705.7959566062,4213032.001340919,210,4260128.032931386,660.1198697797954
1,631736.9418356664,4212986.520538442,100,4260087.67350139,700.4792997753248
2,631815.5599407145,4212871.71836831,70,4259985.800118441,802.3526827245951
