,X,Y,Z
0,630470.7366974736,4212932.9402561765,360.0
1,630504.6958014806,4212883.351439028,340.0
2,630502.3107083709,4212886.834273737,341.683360128
0,630731.493766042,4213186.355360639,360.0
1,630799.4119740562,4213087.177726342,330.0
2,630778.1618374186,4213118.208260596,384.828207325
0,631060.1690426246,4213340.592830804,390.0
1,631094.1281466316,4213291.004013656,340.0
2,631077.6940860252,4213315.001867847,374.0725413
0,631332.2458125288,4213577.478329551,380.0
1,631354.8852152001,4213544.419118119,330.0
2,631380.3288325219,4213507.26504931,341.1357138
,631445,4213650,405
,631508,4213613,355
,631542,4213600,365
