X,Y,Z
630312.260878774,4213164.354736202,380
630448.0972948022,4212965.999467609,330
630436.7775934665,4212982.529073325,380
630606.9770513496,4213368.181023517,370
630720.1740647064,4213202.884966356,320
630686.2149606993,4213252.473783504,400
630704,4213424,370
630771,4213294,350
630813,4213200,410
