,X,Y,Z,t,tt
0,631649.6013877757,4213748.245405433,300.0,4260828.029220459,205.36839576531202
1,631672.2407904471,4213715.186194001,240.0,4260798.691577339,234.70603888574988
2,631712.107797197,4213656.970355691,225.5346058,4260747.029684429,286.3679317953065
