,X,Y,sample,t,tt,Z
0,633079.1694172926,4212294.903081416,364.19824,4259602.984466483,1675.6739829387516,365
1,633144.2059019335,4212199.933486838,260.0,4259518.736328521,1759.9221209008247,280
2,633200.8044086118,4212117.285458257,270.0,4259445.4199062055,1833.238543216139,290
