Z,X,Y
435,"631215","4212486"
390,"631237","4212452"
380,"631240","4212445"
428.50927734375,"631467","4212610"
385,"631497","4212560"
380,"631510","4212536"
413.197174072266,"631584","4212700"
370,"631641","4212668"
350,"631763","4212647"
395,"631582","4212810"
330,"631720","4212800"
310,"631895","4212703"
