,X,Y,sample,t,tt,Z
0,632767.4316907483,4212115.932536388,396.67493,4259379.679218018,1653.718398205936,396
1,632799.002446438,4212069.831307218,290.0,4259338.779823181,1694.617793043144,310
2,632906.0882360362,4211913.459170944,270.0,4259200.054478727,1833.3431374970824,290
