,XX,YY,ZZ,Z,X,Y
,"632556","4211838",330,290,632521,4211890
,"632626","4211821",300,260,632598,4211843
,"632701","4211813",290,240,632701,4211813
,"632780","4211784",300,240,632780,4211784
