X,Y,Z,SAMPLE_1,
632275.490986601,4211932.48772565,0,414.933868408203
632216.01186145,4211898.48600932,0,423.356872558594
632117.571376121,4211822.90382093,0,441.029357910156
632017.951946135,4211743.63922498,0,437.828308105469
631979.794917962,4211695.50801379,0,418.773040771484
631905.859186815,4211596.5332958,0,370.387573242188
631974.659720191,4211579.27105059,0,360.685943603516
632273.380639418,4211650.18221318,0,362.149871826172
632296.087242085,4211705.24948929,0,388.327362060547
632311.661877247,4211749.56406037,0,414.590454101562
632336.459887074,4211809.88744588,0,420.916687011719
632374.421271704,4211877.33367532,0,403.502227783203
